Close,SMA,country
36.694,36.694,CHFINR
37.424,37.424,AUDINR
36.453999,36.453999,CHFINR
36.319,36.857333,USDINR
34.970001,36.91177733,CHFINR
33.858002,36.74103644,CHFINR
33.665001,36.83671559,CHFINR
35.063999,36.82984312,CHFINR
33.902,36.80253172,CHFINR
34.912998,36.82303015,CHFINR
34.887001,36.81846833,CHFINR
34.27,36.81467673,CHFINR
34.319,36.81872507,CHFINR
33.723,36.81729004,CHFINR
34.141998,36.81689728,CHFINR
34.574001,36.81763746,CHFINR
37.882999,36.81727493,CHFINR
37.319,36.81726989,CHFINR
37.715,36.8173941,CHFINR
37.743,36.81731297,CHFINR
35.188999,36.81732565,CHFINR
36.048,36.81734424,CHFINR
37.189999,36.81732762,CHFINR
34.726002,36.81733251,CHFINR
35.342999,36.81733479,CHFINR
36.105,36.81733164,CHFINR
35.388,36.81733298,CHFINR
33.957001,36.81733314,CHFINR
33.096001,36.81733258,CHFINR
33.075001,36.8173329,CHFINR
33.636002,36.81733287,CHFINR
33.556,36.81733279,CHFINR
33.875999,36.81733285,CHFINR
33.792,36.81733284,CHFINR
34.932999,36.81733282,CHFINR
34.852001,36.81733284,CHFINR
36.372002,36.81733283,CHFINR
38.325001,36.81733283,CHFINR
40.085999,36.81733283,CHFINR
39.019001,36.81733283,CHFINR
40.299,36.81733283,CHFINR
41.962002,36.81733283,CHFINR
40.504002,36.81733283,CHFINR
39.587002,36.81733283,CHFINR
41.564999,36.81733283,CHFINR
42.542999,36.81733283,CHFINR
40.908001,36.81733283,CHFINR
44.985001,36.81733283,CHFINR
41.917999,36.81733283,CHFINR
43.549999,36.81733283,CHFINR
44.594002,36.81733283,CHFINR
43.126999,36.81733283,CHFINR
44.068001,36.81733283,CHFINR
44.012001,36.81733283,CHFINR
44.591999,36.81733283,CHFINR
46.027,36.81733283,CHFINR
46.221001,36.81733283,CHFINR
45.745998,36.81733283,CHFINR
46.127998,36.81733283,CHFINR
44.823002,36.81733283,CHFINR
43.408001,36.81733283,CHFINR
42.108002,36.81733283,CHFINR
42.515999,36.81733283,CHFINR
41.097,36.81733283,CHFINR
40.127998,36.81733283,CHFINR
43.042999,36.81733283,CHFINR
44.532001,36.81733283,CHFINR
45.699001,36.81733283,CHFINR
45.740002,36.81733283,CHFINR
44.827999,36.81733283,CHFINR
45.792999,36.81733283,CHFINR
47.917,36.81733283,CHFINR
48.653999,36.81733283,CHFINR
48.757999,36.81733283,CHFINR
48.555,36.81733283,CHFINR
50.689999,36.81733283,CHFINR
52.821999,36.81733283,CHFINR
53.602001,36.81733283,CHFINR
54.858002,36.81733283,CHFINR
56.103001,36.81733283,CHFINR
54.467999,36.81733283,CHFINR
56.307999,36.81733283,CHFINR
56.377998,36.81733283,CHFINR
56.382999,36.81733283,CHFINR
55.948002,36.81733283,CHFINR
54.812,36.81733283,CHFINR
56.355999,36.81733283,CHFINR
58.001999,36.81733283,CHFINR
57.861,36.81733283,CHFINR
58.432999,36.81733283,CHFINR
56.506001,36.81733283,CHFINR
57.884998,36.81733283,CHFINR
56.401581,36.81733283,CHFINR
57.820999,36.81733283,CHFINR
59.028999,36.81733283,CHFINR
59.872002,36.81733283,CHFINR
0.42068,0.42068,JPYINR
0.41665,0.41665,JPYINR
0.40684,0.40684,JPYINR
0.41285,0.414723333,JPYINR
0.4024,0.412737778,JPYINR
0.39188,0.411433704,JPYINR
0.38496,0.412964938,JPYINR
0.39722,0.412378807,JPYINR
0.38644,0.41225915,JPYINR
0.38664,0.412534298,JPYINR
0.38304,0.412390751,JPYINR
0.38136,0.412394733,JPYINR
0.37403,0.412439928,JPYINR
0.38177,0.412408471,JPYINR
0.37822,0.412414377,JPYINR
0.37673,0.412420925,JPYINR
0.41,0.412414591,JPYINR
0.39901,0.412416631,JPYINR
0.4052,0.412417382,JPYINR
0.3959,0.412416201,JPYINR
0.37293,0.412416738,JPYINR
0.38393,0.412416774,JPYINR
0.38509,0.412416571,JPYINR
0.35589,0.412416695,JPYINR
0.36437,0.41241668,JPYINR
0.37065,0.412416649,JPYINR
0.36502,0.412416674,JPYINR
0.34315,0.412416668,JPYINR
0.33299,0.412416663,JPYINR
0.328,0.412416668,JPYINR
0.34109,0.412416667,JPYINR
0.34968,0.412416666,JPYINR
0.34301,0.412416667,JPYINR
0.3395,0.412416667,JPYINR
0.35465,0.412416667,JPYINR
0.35361,0.412416667,JPYINR
0.3699,0.412416667,JPYINR
0.38419,0.412416667,JPYINR
0.39938,0.412416667,JPYINR
0.38877,0.412416667,JPYINR
0.39857,0.412416667,JPYINR
0.40385,0.412416667,JPYINR
0.39356,0.412416667,JPYINR
0.40103,0.412416667,JPYINR
0.43922,0.412416667,JPYINR
0.50297,0.412416667,JPYINR
0.52037,0.412416667,JPYINR
0.53002,0.412416667,JPYINR
0.53932,0.412416667,JPYINR
0.52035,0.412416667,JPYINR
0.51297,0.412416667,JPYINR
0.49831,0.412416667,JPYINR
0.4941,0.412416667,JPYINR
0.49621,0.412416667,JPYINR
0.5031,0.412416667,JPYINR
0.52445,0.412416667,JPYINR
0.532,0.412416667,JPYINR
0.51927,0.412416667,JPYINR
0.5364,0.412416667,JPYINR
0.49919,0.412416667,JPYINR
0.51002,0.412416667,JPYINR
0.50838,0.412416667,JPYINR
0.47904,0.412416667,JPYINR
0.47179,0.412416667,JPYINR
0.50789,0.412416667,JPYINR
0.52368,0.412416667,JPYINR
0.53634,0.412416667,JPYINR
0.55283,0.412416667,JPYINR
0.53438,0.412416667,JPYINR
0.54316,0.412416667,JPYINR
0.54368,0.412416667,JPYINR
0.54971,0.412416667,JPYINR
0.5588,0.412416667,JPYINR
0.55403,0.412416667,JPYINR
0.53817,0.412416667,JPYINR
0.54246,0.412416667,JPYINR
0.55618,0.412416667,JPYINR
0.55345,0.412416667,JPYINR
0.56572,0.412416667,JPYINR
0.599,0.412416667,JPYINR
0.63689,0.412416667,JPYINR
0.64158,0.412416667,JPYINR
0.66588,0.412416667,JPYINR
0.68284,0.412416667,JPYINR
0.67517,0.412416667,JPYINR
0.60895,0.412416667,JPYINR
0.61431,0.412416667,JPYINR
0.65448,0.412416667,JPYINR
0.71116,0.412416667,JPYINR
0.6954,0.412416667,JPYINR
0.70881,0.412416667,JPYINR
0.70751,0.412416667,JPYINR
0.680828,0.412416667,JPYINR
0.67648,0.412416667,JPYINR
0.66684,0.412416667,JPYINR
0.6359,0.412416667,JPYINR
0.5851,0.412416667,JPYINR
33.768002,33.768002,AUDINR
34.438999,34.438999,AUDINR
33.695,33.695,AUDINR
33.726002,33.96733367,AUDINR
33.022999,34.03377756,AUDINR
33.115002,33.89870374,AUDINR
32.794998,33.96660499,AUDINR
33.145,33.96636209,AUDINR
33.390999,33.94389027,AUDINR
33.667999,33.95895245,AUDINR
33.936001,33.95640161,AUDINR
32.973999,33.95308144,AUDINR
33.264,33.95614517,AUDINR
32.841999,33.95520941,AUDINR
31.927,33.95481201,AUDINR
32.498001,33.95538886,AUDINR
34.729,33.95513676,AUDINR
33.923,33.95511254,AUDINR
35.528,33.95521272,AUDINR
35.460999,33.95515401,AUDINR
32.828999,33.95515976,AUDINR
34.743,33.95517549,AUDINR
35.139,33.95516309,AUDINR
33.395,33.95516611,AUDINR
34.129002,33.95516823,AUDINR
34.647999,33.95516581,AUDINR
34.784,33.95516672,AUDINR
34.007,33.95516692,AUDINR
33.578999,33.95516648,AUDINR
34.258999,33.95516671,AUDINR
34.401001,33.9551667,AUDINR
33.057999,33.95516663,AUDINR
34.976002,33.95516668,AUDINR
36.501999,33.95516667,AUDINR
34.851002,33.95516666,AUDINR
34.507999,33.95516667,AUDINR
35.228001,33.95516667,AUDINR
37.060001,33.95516667,AUDINR
36.431999,33.95516667,AUDINR
38.109001,33.95516667,AUDINR
40.150002,33.95516667,AUDINR
41.051998,33.95516667,AUDINR
39.911999,33.95516667,AUDINR
37.243,33.95516667,AUDINR
36.93,33.95516667,AUDINR
33.118999,33.95516667,AUDINR
32.346001,33.95516667,AUDINR
33.897999,33.95516667,AUDINR
30.945,33.95516667,AUDINR
32.594002,33.95516667,AUDINR
35.122002,33.95516667,AUDINR
35.737,33.95516667,AUDINR
37.695,33.95516667,AUDINR
38.52,33.95516667,AUDINR
39.786999,33.95516667,AUDINR
41.048,33.95516667,AUDINR
42.264999,33.95516667,AUDINR
42.261002,33.95516667,AUDINR
